Level	Rule Name	Subject	Property	Value
ERROR	missing_label	skos:Concept	rdfs:label	
ERROR	missing_label	http://www.w3.org/ns/sosa/Result	rdfs:label	
ERROR	missing_label	http://www.w3.org/ns/sosa/observedProperty	rdfs:label	
ERROR	missing_ontology_description	https://cdm.ovh/rsm/pop	dc:description	
ERROR	missing_ontology_license	https://cdm.ovh/rsm/pop	dc:license	
ERROR	missing_ontology_title	https://cdm.ovh/rsm/pop	dc:title	
WARN	missing_definition	skos:Concept	IAO:0000115	
WARN	missing_definition	http://www.w3.org/ns/sosa/Result	IAO:0000115	
WARN	missing_definition	http://www.w3.org/ns/sosa/observedProperty	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/pop#AssertedQuality	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/pop#AssertedTimeInterval	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/pop#AssertedValue	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/pop#Correction	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/pop#Observation	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/pop#Prediction	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/pop#Prescription	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/pop#Source	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/pop#Specification	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/pop#StateEstimation	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/pop#aboutProperty	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/pop#boundariesNode	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/pop#hasAssertedValue	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/pop#hasSource	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/pop#intervalEnd	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/pop#intervalStart	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/pop#sourceKind	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/pop#validDuring	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/pop#value	IAO:0000115	
WARN	missing_definition	https://cdm.ovh/rsm/pop#valueNode	IAO:0000115	
INFO	missing_superclass	skos:Concept	rdfs:subClassOf	
INFO	missing_superclass	https://cdm.ovh/rsm/pop#Source	rdfs:subClassOf	
